height,time,proposer_hex,proposer_moniker
60362646,2026-04-27T14:05:43.247681198Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362647,2026-04-27T14:05:44.05503059Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
60362648,2026-04-27T14:05:44.954808169Z,99063B919404B6950A79A6A31E370378FE07020D,99063B…020D
60362649,2026-04-27T14:05:45.795408394Z,19EC0A155A5BE755E76D0059EF730EBCA122B4F1,19EC0A…B4F1
60362650,2026-04-27T14:05:46.680050308Z,9D0281786872D3BBE53C58FBECA118D86FA82177,9D0281…2177
60362651,2026-04-27T14:05:48.677370276Z,9CBEC8CBD4ED3AAD4BB2B0346EFC86A6C41F9160,9CBEC8…9160
60362652,2026-04-27T14:05:49.492751621Z,16A169951A878247DBE258FDDC71638F6606D156,16A169…D156
60362653,2026-04-27T14:05:50.419068794Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362654,2026-04-27T14:05:51.320524943Z,5F999A4BE254869925A7F2FEA04D7B3B836CFF0B,5F999A…FF0B
60362655,2026-04-27T14:05:52.170288079Z,F9A968A405FB0429410AE5165E5F2193271E678A,F9A968…678A
60362656,2026-04-27T14:05:54.155874097Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362657,2026-04-27T14:05:55.07145824Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362658,2026-04-27T14:05:56.121160868Z,583AE736E67DF9D72FE87B9AA7D3210D3B4B0E5A,583AE7…0E5A
60362659,2026-04-27T14:05:56.968403711Z,7EDB006522610C58283E30644A14F27BCC0D32ED,7EDB00…32ED
60362660,2026-04-27T14:06:00.593019002Z,7EDB006522610C58283E30644A14F27BCC0D32ED,7EDB00…32ED
60362661,2026-04-27T14:06:01.412482414Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362662,2026-04-27T14:06:05.111833146Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362663,2026-04-27T14:06:06.06452978Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362664,2026-04-27T14:06:06.983851497Z,894C56D6CFC3A8E09EB6D1A2E33467C4CF77C0F5,894C56…C0F5
60362665,2026-04-27T14:06:07.827480469Z,9CC5FB13EC1448FD164DC81ED49841F4DBF0C347,9CC5FB…C347
60362666,2026-04-27T14:06:08.801006592Z,96DA375D8A293F8F6580DA36EA2376CD89AB20C4,96DA37…20C4
60362667,2026-04-27T14:06:09.630656689Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362668,2026-04-27T14:06:10.52083056Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362669,2026-04-27T14:06:11.495012262Z,04C83AA20F7563BBCBCF6AA150EF6B0C81808DAA,04C83A…8DAA
60362670,2026-04-27T14:06:12.61708128Z,2022FE8CC49E48630C76160E11A880459219D244,2022FE…D244
60362671,2026-04-27T14:06:13.571558902Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362672,2026-04-27T14:06:14.442155529Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362673,2026-04-27T14:06:15.414652052Z,95B002DE67707313D123D06492F1A7A58478E546,95B002…E546
60362674,2026-04-27T14:06:16.669288492Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362675,2026-04-27T14:06:17.650416285Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362676,2026-04-27T14:06:18.987526701Z,97AFE45395B74E784C88D45E5CCA2995019FAE08,97AFE4…AE08
60362677,2026-04-27T14:06:19.93254578Z,39327692C258A57970EF53F0AA4D3C00F95988B8,393276…88B8
